Cliente,Grupo económico,Ventas Netas (USD),Provincia,Localidad,Cód. Postal de entrega,Direccion completa,Latitud,Longitud
ECOHABITAT SA Y OTRA UTE,ECOHABITAT SA Y OTRA UTE,67538.98,CAPITAL FEDERAL,CAPITAL FEDERAL,1439,"1439, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6766242,-58.4746535
PUNTO TRUCK S.A.,PUNTO TRUCK S.A.,61282.02,BUENOS AIRES,MAR DEL PLATA,7600,"7600, MAR DEL PLATA, BUENOS AIRES, Argentina",-38.0099943,-57.5676849
"QUE RICO SA, S.","QUE RICO SA, S.",55606.94,BUENOS AIRES,GENERAL RODRIGUEZ,1748,"1748, GENERAL RODRIGUEZ, BUENOS AIRES, Argentina",-34.6027866,-58.4529961
"BENITO ROGGIO E HIJOS S.A, .","BENITO ROGGIO E HIJOS S.A, .",51767.01,CORDOBA,CORDOBA,5008,"5008, CORDOBA, CORDOBA, Argentina",-31.3640501,-64.2013086
MEDITERRANEA DIESEL S.R.L,MEDITERRANEA DIESEL S.R.L,51308.76,CORDOBA,BARRIO ALTA CORDOBA,5001,"5001, BARRIO ALTA CORDOBA, CORDOBA, Argentina",-31.8670455,-62.7258085
RYMI S.A,RYMI S.A,50415.28,CORDOBA,LAS HIGUERAS,5805,"5805, LAS HIGUERAS, CORDOBA, Argentina",-33.0897797,-64.2854491
ENVAIRO S.A.,GRUPO CLIBA,49732.32,CAPITAL FEDERAL,CAPITAL FEDERAL,1001,"1001, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.5954843,-58.3736099
FIORASI S.A.,FIORASI S.A.,48901.03,CHUBUT,TRELEW,9100,"9100, TRELEW, CHUBUT, Argentina",-43.2885002,-65.3353907
AZ TRUCK SOCIEDAD DE RESPONSABILIDAD LIMITADA,AZ TRUCK SOCIEDAD DE RESPONSABILIDAD LIMITADA,46921.45,ENTRE RIOS,GUALEGUAYCHU,2820,"2820, GUALEGUAYCHU, ENTRE RIOS, Argentina",-31.9871291,-60.5815718
LIME ROSARIO S.A.,GRUPO PESCARMONA,46314.1,SANTA FE,ROSARIO SUD,2000,"2000, ROSARIO SUD, SANTA FE, Argentina",,
BWT CONSTRUCCION Y SERVICIOS S.A.,BWT CONSTRUCCION Y SERVICIOS S.A.,43509.39,CAPITAL FEDERAL,CAPITAL FEDERAL,9000,"9000, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
ESUCO S.A.,ESUCO S.A.,43257.65,CAPITAL FEDERAL,CAPITAL FEDERAL,1076,"1076, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6100933,-58.3820577
NAVITRANS DE ARGENTINA S.A.,NAVITRANS DE ARGENTINA S.A.,42154.86,CAPITAL FEDERAL,CAPITAL FEDERAL,1744,"1744, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
"ECOCIUDAD S.A, .","ECOCIUDAD S.A, .",40533.75,CAPITAL FEDERAL,CAPITAL FEDERAL,1613,"1613, CAPITAL FEDERAL, CAPITAL FEDERAL, Argentina",-34.6083696,-58.4440583
